timestamp,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2021-12-14 15:00:00+07:00,26.9,56,17.3,29.4,0.0,0.0,0,1012.0,977.1,19,0,0,62,1.57,0.7,0.7,180,180,1,3600.0,492.0,334.0,158.0,556.1
2021-12-14 16:00:00+07:00,26.8,56,17.2,29.0,0.0,0.0,1,1011.7,976.8,23,0,0,77,1.56,2.9,3.3,180,186,1,3600.0,406.0,313.0,93.0,689.4
2021-12-14 17:00:00+07:00,25.3,71,19.7,28.4,0.0,0.0,1,1011.7,976.7,30,0,0,100,0.93,4.3,7.9,185,180,1,3600.0,209.0,144.0,65.0,537.7
2021-12-14 18:00:00+07:00,21.9,82,18.7,24.1,0.0,0.0,1,1012.2,976.7,28,0,0,94,0.47,7.4,8.4,223,187,0,1262.11,37.0,19.0,18.0,159.8
2021-12-14 19:00:00+07:00,23.5,68,17.3,25.5,0.0,0.0,0,1012.6,977.3,1,0,1,2,0.92,4.4,6.6,235,167,0,0.0,0.0,0.0,0.0,0.0
2021-12-14 20:00:00+07:00,22.6,72,17.2,24.6,0.0,0.0,0,1013.4,978.0,0,0,0,0,0.78,3.2,3.2,297,207,0,0.0,0.0,0.0,0.0,0.0
2021-12-14 21:00:00+07:00,20.8,79,17.0,22.7,0.0,0.0,0,1014.1,978.4,0,0,0,0,0.52,3.6,4.7,315,279,0,0.0,0.0,0.0,0.0,0.0
2021-12-14 22:00:00+07:00,20.9,78,16.9,22.9,0.0,0.0,0,1014.8,979.1,0,0,0,0,0.55,2.5,2.3,352,342,0,0.0,0.0,0.0,0.0,0.0
2021-12-14 23:00:00+07:00,19.8,84,17.0,21.6,0.0,0.0,0,1014.9,979.1,0,0,0,0,0.37,4.6,3.6,18,53,0,0.0,0.0,0.0,0.0,0.0
2021-12-15 00:00:00+07:00,18.2,92,16.8,19.9,0.0,0.0,0,1014.7,978.7,0,0,0,0,0.18,4.7,5.1,356,51,0,0.0,0.0,0.0,0.0,0.0
2021-12-15 01:00:00+07:00,17.1,94,16.2,18.7,0.0,0.0,0,1014.3,978.2,0,0,0,0,0.11,3.6,2.5,323,8,0,0.0,0.0,0.0,0.0,0.0
2021-12-15 02:00:00+07:00,17.1,93,15.9,18.3,0.0,0.0,0,1013.7,977.6,0,0,0,0,0.14,5.0,6.0,330,335,0,0.0,0.0,0.0,0.0,0.0
2021-12-15 03:00:00+07:00,16.7,92,15.4,17.6,0.0,0.0,0,1013.5,977.4,0,0,0,0,0.15,6.3,5.5,336,349,0,0.0,0.0,0.0,0.0,0.0
2021-12-15 04:00:00+07:00,16.7,91,15.2,17.7,0.0,0.0,0,1013.4,977.3,0,0,0,0,0.18,4.9,4.4,343,351,0,0.0,0.0,0.0,0.0,0.0
